id_clientes;nome;sobrenome;usuario;email;cpf;celular;senha;data_hora_cadastro;data_hora_atualizacao;status
18;Lucas;Martins;lucasmartins;lucas.m@email.com;52955132381;96992424392;2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c20794da39b;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
19;Carolina;Almeida;carolinaalmeida;carolina.a@email.com;58788475581;11992424393;157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
20;Daniel;Souza;danielsouza;daniel.s@email.com;08413087058;11992424394;7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
21;Renata;Silva;renatasilva;renata.s@email.com;53728351768;28992424395;fbfbc7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3d;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
22;Paulo;Oliveira;paulooliveira;paulo.o@email.com;81644887800;43992424396;7c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a15;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
23;Beatriz;Pereira;beatrizpereira;beatriz.p@email.com;23386557708;53992424397;a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
24;Gabriel;Santos;gabrielsantos;gabriel.s@email.com;78845453812;82992424398;20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
25;Laura;Lima;lauralima;laura.l@email.com;61585137170;68992424399;15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
26;Guilherme;Costa;guilhermecosta;guilherme.c@email.com;78824511341;77992424400;794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c20;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
27;Carla;Rodrigues;carlarodrigues;carla.r@email.com;66926231893;61992424401;2b6a3f27a7d7b67f9e2b3ddfbfbc7a157c7e953c15dd26f491a95c20794da39b;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
28;Marcos;Martins;marcosmartins;marcos.m@email.com;34854471107;11992424402;157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc7a;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
29;Daniela;Almeida;danielaalmeida;daniela.a@email.com;77175186193;61992424403;7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3ddfbfbc;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
30;Josué;Souza;josuesouza;josue.s@email.com;13509567676;11992424404;fbfbc7a157c7e953c15dd26f491a95c20794da39b2b6a3f27a7d7b67f9e2b3d;'2023-04-28 22:11:33';'2023-06-08 05:44:02';1
